congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
bbr, 0.001, 86.71, 10, 100.27, 100
bbr, 0.001, 93.87, 100, 100.27, 100
bbr, 0.001, 67.88, 200, 100.27, 100
bbr, 0.001, 26.36, 500, 100.27, 100
bbr, 0.01, 92.48, 2, 100.26, 100
bbr, 0.01, 78.68, 10, 100.27, 100
bbr, 0.01, 77.54, 100, 100.27, 100
bbr, 0.01, 56.92, 200, 100.27, 100
bbr, 0.01, 20.66, 500, 100.27, 100
bbr, 0.02, 86.23, 2, 100.27, 100
bbr, 0.02, 86.91, 10, 100.26, 100
bbr, 0.02, 77.63, 100, 100.27, 100
bbr, 0.02, 48.99, 200, 100.27, 100
bbr, 0.02, 22.96, 500, 100.27, 100
bbr, 0.05, 92.64, 2, 100.27, 100
bbr, 0.05, 90.88, 10, 100.27, 100
bbr, 0.05, 76.59, 100, 100.27, 100
bbr, 0.05, 46.0, 200, 100.23, 100
bbr, 0.05, 19.65, 500, 100.27, 100
bbr, 0.1, 91.65, 2, 100.27, 100
bbr, 0.1, 90.21, 10, 100.26, 100
bbr, 0.1, 68.5, 100, 100.27, 100
bbr, 0.1, 40.54, 200, 100.27, 100
bbr, 0.1, 14.86, 500, 100.27, 100
bbr, 0.15, 89.0, 2, 100.27, 100
bbr, 0.15, 81.73, 10, 100.27, 100
bbr, 0.15, 60.08, 100, 100.27, 100
bbr, 0.15, 31.59, 200, 100.27, 100
bbr, 0.15, 13.0, 500, 100.27, 100
bbr, 0.2, 69.84, 2, 100.06, 100
bbr, 0.2, 81.99, 10, 100.27, 100
bbr, 0.2, 58.72, 100, 100.27, 100
bbr, 0.2, 31.82, 200, 100.27, 100
bbr, 0.2, 11.77, 500, 100.27, 100
bbr, 0.25, 63.44, 2, 100.27, 100
bbr, 0.25, 78.73, 10, 100.17, 100
bbr, 0.25, 57.11, 100, 100.27, 100
bbr, 0.25, 28.43, 200, 100.27, 100
bbr, 0.25, 9.27, 500, 100.27, 100
bbr, 0.3, 39.53, 2, 100.27, 100
bbr, 0.3, 84.83, 10, 100.27, 100
bbr, 0.3, 60.47, 100, 100.27, 100
bbr, 0.3, 25.73, 200, 100.27, 100
bbr, 0.3, 10.34, 500, 100.27, 100
bbr, 0.4, 0.02, 2, 3.87, 100
bbr, 0.4, 23.92, 10, 100.26, 100
bbr, 0.4, 13.24, 100, 59.81, 100
bbr, 0.4, 21.89, 200, 100.27, 100
bbr, 0.4, 9.83, 500, 100.27, 100
bbr, 0.5, 1.61, 2, 100.27, 100
bbr, 0.5, 12.11, 10, 100.27, 100
bbr, 0.5, 13.9, 100, 100.27, 100
bbr, 0.5, 5.9, 200, 100.27, 100
bbr, 0.5, 0.89, 500, 100.26, 100
