congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 0.4, 0.02, 100, 0.1, 0.1
cubic, 0.4, 0.09, 100, 1.0, 1.0
cubic, 0.4, 0.08, 100, 10.03, 10.0
cubic, 0.4, 0.11, 100, 100.27, 100.0
cubic, 0.5, 0.01, 100, 0.01, 0.01
cubic, 0.5, 0.02, 100, 0.1, 0.1
cubic, 0.5, 0.04, 100, 1.0, 1.0
cubic, 0.5, 0.04, 100, 10.03, 10.0
cubic, 0.5, 0.06, 100, 100.27, 100.0
bbr, 1e-05, 0.01, 100, 0.01, 0.01
bbr, 1e-05, 0.1, 100, 0.1, 0.1
bbr, 1e-05, 0.98, 100, 1.0, 1.0
bbr, 1e-05, 8.72, 100, 10.03, 10.0
bbr, 1e-05, 76.72, 100, 100.26, 100.0
bbr, 0.0001, 0.01, 100, 0.01, 0.01
bbr, 0.0001, 0.1, 100, 0.1, 0.1
bbr, 0.0001, 0.97, 100, 1.0, 1.0
bbr, 0.0001, 9.22, 100, 10.03, 10.0
bbr, 0.0001, 93.63, 100, 100.27, 100.0
bbr, 0.001, 0.01, 100, 0.01, 0.01
bbr, 0.001, 0.1, 100, 0.1, 0.1
bbr, 0.001, 0.97, 100, 1.0, 1.0
bbr, 0.001, 9.08, 100, 10.03, 10.0
bbr, 0.001, 79.66, 100, 100.27, 100.0
bbr, 0.01, 0.01, 100, 0.01, 0.01
bbr, 0.01, 0.1, 100, 0.1, 0.1
bbr, 0.01, 0.98, 100, 1.0, 1.0
bbr, 0.01, 9.34, 100, 10.03, 10.0
bbr, 0.01, 63.54, 100, 100.26, 100.0
bbr, 0.02, 0.01, 100, 0.01, 0.01
bbr, 0.02, 0.1, 100, 0.1, 0.1
bbr, 0.02, 0.96, 100, 1.0, 1.0
bbr, 0.02, 9.29, 100, 10.03, 10.0
bbr, 0.02, 79.92, 100, 100.26, 100.0
bbr, 0.05, 0.01, 100, 0.01, 0.01
bbr, 0.05, 0.1, 100, 0.1, 0.1
bbr, 0.05, 0.95, 100, 1.0, 1.0
bbr, 0.05, 9.62, 100, 10.03, 10.0
bbr, 0.05, 72.27, 100, 100.25, 100.0
bbr, 0.1, 0.01, 100, 0.01, 0.01
bbr, 0.1, 0.1, 100, 0.1, 0.1
bbr, 0.1, 0.94, 100, 1.0, 1.0
bbr, 0.1, 9.01, 100, 10.03, 10.0
bbr, 0.1, 56.77, 100, 100.1, 100.0
bbr, 0.15, 0.01, 100, 0.01, 0.01
bbr, 0.15, 0.1, 100, 0.1, 0.1
bbr, 0.15, 0.98, 100, 1.0, 1.0
bbr, 0.15, 9.4, 100, 10.03, 10.0
bbr, 0.15, 63.25, 100, 100.27, 100.0
bbr, 0.2, 0.01, 100, 0.01, 0.01
bbr, 0.2, 0.1, 100, 0.1, 0.1
bbr, 0.2, 0.95, 100, 1.0, 1.0
bbr, 0.2, 8.96, 100, 10.03, 10.0
bbr, 0.2, 58.74, 100, 100.27, 100.0
bbr, 0.25, 0.01, 100, 0.01, 0.01
bbr, 0.25, 0.1, 100, 0.1, 0.1
bbr, 0.25, 0.96, 100, 1.0, 1.0
bbr, 0.25, 9.54, 100, 10.03, 10.0
bbr, 0.25, 50.89, 100, 100.27, 100.0
bbr, 0.3, 0.01, 100, 0.01, 0.01
bbr, 0.3, 0.1, 100, 0.1, 0.1
bbr, 0.3, 0.95, 100, 1.0, 1.0
bbr, 0.3, 9.55, 100, 10.03, 10.0
bbr, 0.3, 54.61, 100, 100.26, 100.0
bbr, 0.4, 0.01, 100, 0.01, 0.01
bbr, 0.4, 0.07, 100, 0.1, 0.1
bbr, 0.4, 0.9, 100, 1.0, 1.0
bbr, 0.4, 8.13, 100, 10.03, 10.0
bbr, 0.4, 34.96, 100, 100.27, 100.0
bbr, 0.5, 0.01, 100, 0.01, 0.01
bbr, 0.5, 0.09, 100, 0.1, 0.1
bbr, 0.5, 0.84, 100, 1.0, 1.0
bbr, 0.5, 2.31, 100, 10.03, 10.0
bbr, 0.5, 1.75, 100, 100.27, 100.0
